type,true,predicted,logError,user
Plain,94,92,0.9068905956085185,u1
Grayscale,88,83,2.2854022188622483,u1
Colored,43,44,0.16992500144231237,u1
Grayscale,48,44,1.9541963103868751,u1
Colored,93,93,0.0,u1
Colored,13,16,1.6438561897747248,u1
Plain,54,58,2.0443941193584534,u1
Grayscale,39,36,1.5235619560570128,u1
Plain,66,73,2.8328900141647417,u1
Grayscale,0,0,0.0,u1
Plain,15,17,1.0874628412503393,u1
Colored,53,57,2.0443941193584534,u1
Grayscale,0,0,0.0,u1
Plain,63,70,2.8328900141647417,u1
Plain,30,28,0.9068905956085185,u1
Plain,89,81,2.9772799234999163,u1
Colored,70,72,1.0874628412503393,u1
Grayscale,45,47,1.0874628412503393,u1
Plain,16,20,2.0443941193584534,u1
Plain,80,81,0.16992500144231237,u1
Plain,57,60,1.6438561897747248,u1
Colored,60,64,2.0443941193584534,u1
Colored,19,20,0.16992500144231237,u1
Colored,14,16,1.0874628412503393,u1
Plain,81,80,-0.19264507794239588,u1
Grayscale,86,80,2.554588851677637,u1
Plain,66,61,2.2854022188622483,u1
Grayscale,66,70,2.0443941193584534,u1
Colored,89,83,2.554588851677637,u1
Colored,89,83,2.554588851677637,u1
Colored,17,23,2.6147098441152083,u1
Grayscale,95,94,-0.19264507794239588,u1
Grayscale,48,50,1.0874628412503393,u1
Grayscale,55,58,1.6438561897747248,u1
Colored,8,14,2.6147098441152083,u1
Colored,48,51,1.6438561897747248,u1
Plain,50,51,0.16992500144231237,u1
Plain,72,79,2.8328900141647417,u1
Colored,11,20,3.189824558880017,u1
Grayscale,29,27,0.9068905956085185,u1
Plain,16,17,0.16992500144231237,u1
Grayscale,85,88,1.6438561897747248,u1
Colored,78,84,2.6147098441152083,u1
Plain,31,26,2.2854022188622483,u1
Grayscale,54,54,0.0,u1
Plain,17,20,1.6438561897747248,u1
Plain,92,91,-0.19264507794239588,u1
Grayscale,60,60,0.0,u1
Colored,92,93,0.16992500144231237,u1
Grayscale,64,70,2.6147098441152083,u1
Colored,41,44,1.6438561897747248,u1
Colored,85,81,1.9541963103868751,u1
Plain,69,73,2.0443941193584534,u1
Grayscale,76,75,-0.19264507794239588,u1
Colored,55,58,1.6438561897747248,u1
Colored,5,13,3.0223678130284544,u1
Grayscale,42,42,0.0,u1
Grayscale,31,27,1.9541963103868751,u1
Plain,35,36,0.16992500144231237,u1
Grayscale,66,65,-0.19264507794239588,u1
Grayscale,60,60,0.0,u2
Grayscale,65,65,0.0,u2
Colored,30,30,0.0,u2
Colored,55,55,0.0,u2
Plain,10,10,0.0,u2
Plain,34,35,0.16992500144231237,u2
Colored,22,20,0.9068905956085185,u2
Grayscale,20,20,0.0,u2
Colored,1,3,1.0874628412503393,u2
Plain,26,25,-0.19264507794239588,u2
Plain,54,55,0.16992500144231237,u2
Colored,84,85,0.16992500144231237,u2
Grayscale,42,48,2.6147098441152083,u2
Grayscale,1,4,1.6438561897747248,u2
Plain,12,20,3.0223678130284544,u2
Colored,27,23,1.9541963103868751,u2
Grayscale,31,34,1.6438561897747248,u2
Grayscale,14,15,0.16992500144231237,u2
Plain,100,100,0.0,u2
Plain,54,60,2.6147098441152083,u2
Grayscale,77,85,3.0223678130284544,u2
Plain,82,85,1.6438561897747248,u2
Grayscale,61,60,-0.19264507794239588,u2
Colored,78,75,1.5235619560570128,u2
Grayscale,49,50,0.16992500144231237,u2
Grayscale,67,70,1.6438561897747248,u2
Grayscale,85,85,0.0,u2
Colored,35,40,2.357552004618084,u2
Plain,10,10,0.0,u2
Grayscale,82,85,1.6438561897747248,u2
Grayscale,86,90,2.0443941193584534,u2
Colored,56,55,-0.19264507794239588,u2
Grayscale,48,50,1.0874628412503393,u2
Plain,98,97,-0.19264507794239588,u2
Plain,72,70,0.9068905956085185,u2
Plain,41,47,2.6147098441152083,u2
Grayscale,49,50,0.16992500144231237,u2
Grayscale,4,6,1.0874628412503393,u2
Colored,36,35,-0.19264507794239588,u2
Grayscale,77,85,3.0223678130284544,u2
Colored,16,18,1.0874628412503393,u2
Plain,81,85,2.0443941193584534,u2
Grayscale,97,48,5.611024797307352,u2
Plain,41,45,2.0443941193584534,u2
Plain,86,85,-0.19264507794239588,u2
Colored,0,0,0.0,u2
Grayscale,81,80,-0.19264507794239588,u2
Colored,60,66,2.6147098441152083,u2
Colored,4,6,1.0874628412503393,u2
Colored,17,20,1.6438561897747248,u2
Colored,14,20,2.6147098441152083,u2
Plain,51,55,2.0443941193584534,u2
Plain,76,85,3.189824558880017,u2
Plain,91,96,2.357552004618084,u2
Colored,47,55,3.0223678130284544,u2
Colored,41,46,2.357552004618084,u2
Colored,7,10,1.6438561897747248,u2
Colored,47,50,1.6438561897747248,u2
Plain,35,45,3.3398500028846247,u2
Plain,19,25,2.6147098441152083,u2
Grayscale,48,40,2.9772799234999163,u3
Colored,64,80,4.011227255423254,u3
Colored,47,60,3.7142455176661224,u3
Grayscale,3,5,1.0874628412503393,u3
Colored,18,20,1.0874628412503393,u3
Plain,2,5,1.6438561897747248,u3
Grayscale,22,20,0.9068905956085185,u3
Grayscale,12,10,0.9068905956085185,u3
Colored,0,0,0.0,u3
Colored,50,50,0.0,u3
Colored,63,65,1.0874628412503393,u3
Grayscale,70,90,4.330916878114617,u3
Colored,76,80,2.0443941193584534,u3
Grayscale,47,45,0.9068905956085185,u3
Colored,22,25,1.6438561897747248,u3
Grayscale,96,100,2.0443941193584534,u3
Grayscale,43,50,2.8328900141647417,u3
Colored,79,95,4.011227255423254,u3
Grayscale,17,20,1.6438561897747248,u3
Grayscale,17,20,1.6438561897747248,u3
Grayscale,27,25,0.9068905956085185,u3
Colored,3,5,1.0874628412503393,u3
Grayscale,39,40,0.16992500144231237,u3
Grayscale,27,33,2.6147098441152083,u3
Plain,75,80,2.357552004618084,u3
Plain,19,25,2.6147098441152083,u3
Plain,4,10,2.6147098441152083,u3
Colored,6,10,2.0443941193584534,u3
Grayscale,17,25,3.0223678130284544,u3
Grayscale,50,50,0.0,u3
Plain,16,25,3.189824558880017,u3
Plain,60,70,3.3398500028846247,u3
Plain,27,25,0.9068905956085185,u3
Plain,54,60,2.6147098441152083,u3
Plain,23,25,1.0874628412503393,u3
Grayscale,58,60,1.0874628412503393,u3
Plain,68,70,1.0874628412503393,u3
Plain,72,70,0.9068905956085185,u3
Plain,70,80,3.3398500028846247,u3
Grayscale,6,10,2.0443941193584534,u3
Plain,64,80,4.011227255423254,u3
Colored,3,10,2.8328900141647417,u3
Colored,49,60,3.4757334309663976,u3
Grayscale,65,80,3.9188632372745946,u3
Colored,27,30,1.6438561897747248,u3
Colored,71,80,3.189824558880017,u3
Plain,55,80,4.651051691178929,u3
Grayscale,5,10,2.357552004618084,u3
Grayscale,80,90,3.3398500028846247,u3
Plain,0,0,0.0,u3
Plain,24,25,0.16992500144231237,u3
Colored,19,20,0.16992500144231237,u3
Colored,87,90,1.6438561897747248,u3
Plain,86,85,-0.19264507794239588,u3
Plain,64,75,3.4757334309663976,u3
Colored,96,100,2.0443941193584534,u3
Plain,33,33,0.0,u3
Colored,52,60,3.0223678130284544,u3
Plain,5,10,2.357552004618084,u3
Colored,1,5,2.0443941193584534,u3
Colored,18,20,1.0874628412503393,u4
Colored,94,95,0.16992500144231237,u4
Plain,69,70,0.16992500144231237,u4
Plain,69,75,2.6147098441152083,u4
Colored,23,20,1.5235619560570128,u4
Grayscale,59,65,2.6147098441152083,u4
Grayscale,74,90,4.011227255423254,u4
Plain,77,85,3.0223678130284544,u4
Plain,68,70,1.0874628412503393,u4
Colored,34,33,-0.19264507794239588,u4
Grayscale,75,70,2.2854022188622483,u4
Grayscale,81,90,3.189824558880017,u4
Grayscale,88,95,2.8328900141647417,u4
Plain,17,10,2.7813597135246595,u4
Plain,47,40,2.7813597135246595,u4
Grayscale,85,98,3.7142455176661224,u4
Plain,38,35,1.5235619560570128,u4
Plain,19,15,1.9541963103868751,u4
Colored,70,80,3.3398500028846247,u4
Grayscale,44,40,1.9541963103868751,u4
Plain,64,65,0.16992500144231237,u4
Plain,30,25,2.2854022188622483,u4
Plain,2,2,0.0,u4
Colored,23,20,1.5235619560570128,u4
Colored,7,10,1.6438561897747246,u4
Colored,79,90,3.4757334309663976,u4
Grayscale,14,15,0.16992500144231237,u4
Colored,12,15,1.6438561897747246,u4
Colored,12,10,0.9068905956085185,u4
Colored,53,70,4.098032082960526,u4
Colored,53,60,2.8328900141647417,u4
Grayscale,74,80,2.6147098441152083,u4
Colored,48,80,5.005624549193878,u4
Colored,94,95,0.16992500144231237,u4
Colored,21,20,-0.19264507794239588,u4
Grayscale,100,100,0.0,u4
Colored,59,70,3.4757334309663976,u4
Colored,42,50,3.0223678130284544,u4
Plain,76,80,2.0443941193584534,u4
Grayscale,94,98,2.0443941193584534,u4
Colored,26,15,3.4429434958487284,u4
Colored,9,15,2.6147098441152083,u4
Plain,23,25,1.0874628412503393,u4
Colored,12,10,0.9068905956085185,u4
Grayscale,26,25,-0.19264507794239588,u4
Grayscale,57,66,3.189824558880017,u4
Plain,50,50,0.0,u4
Grayscale,32,40,3.0223678130284544,u4
Grayscale,48,50,1.0874628412503393,u4
Grayscale,95,95,0.0,u4
Grayscale,29,33,2.0443941193584534,u4
Plain,81,80,-0.19264507794239588,u4
Grayscale,26,33,2.8328900141647417,u4
Plain,36,40,2.0443941193584534,u4
Plain,33,33,0.0,u4
Plain,1,2,0.16992500144231237,u4
Grayscale,2,4,1.0874628412503393,u4
Plain,22,15,2.7813597135246595,u4
Grayscale,66,70,2.0443941193584534,u4
Plain,15,10,2.2854022188622483,u4
Grayscale,16,15,-0.19264507794239588,u5
Plain,90,95,2.357552004618084,u5
Colored,98,99,0.16992500144231237,u5
Plain,65,75,3.3398500028846247,u5
Grayscale,90,90,0.0,u5
Colored,80,85,2.357552004618084,u5
Plain,80,85,2.357552004618084,u5
Grayscale,47,50,1.6438561897747248,u5
Colored,21,25,2.0443941193584534,u5
Grayscale,62,66,2.0443941193584534,u5
Plain,56,55,-0.19264507794239588,u5
Plain,46,50,2.0443941193584534,u5
Colored,53,50,1.5235619560570128,u5
Plain,64,60,1.9541963103868751,u5
Plain,64,75,3.4757334309663976,u5
Plain,45,50,2.357552004618084,u5
Grayscale,14,15,0.16992500144231237,u5
Colored,38,45,2.8328900141647417,u5
Colored,65,70,2.357552004618084,u5
Grayscale,94,95,0.16992500144231237,u5
Plain,51,55,2.0443941193584534,u5
Colored,39,45,2.6147098441152083,u5
Plain,37,50,3.7142455176661224,u5
Grayscale,47,50,1.6438561897747248,u5
Plain,24,20,1.9541963103868751,u5
Plain,34,40,2.6147098441152083,u5
Colored,46,50,2.0443941193584534,u5
Colored,5,5,0.0,u5
Grayscale,22,20,0.9068905956085185,u5
Grayscale,82,85,1.6438561897747248,u5
Plain,3,5,1.0874628412503393,u5
Plain,12,10,0.9068905956085185,u5
Grayscale,66,70,2.0443941193584534,u5
Grayscale,100,100,0.0,u5
Plain,29,33,2.0443941193584534,u5
Plain,3,5,1.0874628412503393,u5
Colored,4,5,0.16992500144231237,u5
Colored,90,97,2.8328900141647417,u5
Grayscale,77,85,3.0223678130284544,u5
Colored,70,75,2.357552004618084,u5
Colored,10,30,4.330916878114617,u5
Plain,28,33,2.357552004618084,u5
Grayscale,84,85,0.16992500144231237,u5
Colored,12,20,3.0223678130284544,u5
Colored,100,100,0.0,u5
Colored,36,40,2.0443941193584534,u5
Colored,0,0,0.0,u5
Grayscale,60,55,2.2854022188622483,u5
Colored,85,85,0.0,u5
Grayscale,83,85,1.0874628412503393,u5
Plain,35,35,0.0,u5
Grayscale,25,33,3.0223678130284544,u5
Grayscale,54,55,0.16992500144231237,u5
Colored,50,50,0.0,u5
Grayscale,78,75,1.5235619560570128,u5
Plain,24,25,0.16992500144231237,u5
Grayscale,22,25,1.6438561897747248,u5
Colored,68,75,2.8328900141647417,u5
Grayscale,27,35,3.0223678130284544,u5
Plain,10,10,0.0,u5
Colored,11,11,0.0,u6
Plain,33,35,1.0874628412503393,u6
Grayscale,46,45,-0.19264507794239588,u6
Colored,9,10,0.16992500144231237,u6
Grayscale,26,23,1.5235619560570128,u6
Plain,58,60,1.0874628412503393,u6
Plain,74,70,1.9541963103868751,u6
Grayscale,95,94,-0.19264507794239588,u6
Colored,38,43,2.357552004618084,u6
Grayscale,25,25,0.0,u6
Colored,44,48,2.0443941193584534,u6
Grayscale,51,50,-0.19264507794239588,u6
Grayscale,75,80,2.357552004618084,u6
Plain,22,25,1.6438561897747248,u6
Plain,3,2,-0.19264507794239588,u6
Plain,20,25,2.357552004618084,u6
Grayscale,43,45,1.0874628412503393,u6
Grayscale,0,0,0.0,u6
Grayscale,4,5,0.16992500144231237,u6
Grayscale,40,43,1.6438561897747248,u6
Plain,44,44,0.0,u6
Grayscale,60,70,3.3398500028846247,u6
Colored,96,95,-0.19264507794239588,u6
Grayscale,69,76,2.8328900141647417,u6
Grayscale,17,32,3.9188632372745946,u6
Plain,54,57,1.6438561897747248,u6
Colored,72,84,3.599912842187128,u6
Colored,76,89,3.7142455176661224,u6
Grayscale,31,25,2.554588851677637,u6
Plain,91,92,0.16992500144231237,u6
Plain,36,39,1.6438561897747248,u6
Grayscale,14,13,-0.19264507794239588,u6
Grayscale,19,28,3.189824558880017,u6
Grayscale,29,35,2.6147098441152083,u6
Plain,27,35,3.0223678130284544,u6
Colored,86,85,-0.19264507794239588,u6
Colored,33,42,3.189824558880017,u6
Grayscale,89,87,0.9068905956085185,u6
Colored,50,50,0.0,u6
Colored,93,92,-0.19264507794239588,u6
Colored,82,80,0.9068905956085185,u6
Plain,45,47,1.0874628412503393,u6
Grayscale,75,86,3.4757334309663976,u6
Grayscale,61,64,1.6438561897747248,u6
Colored,49,52,1.6438561897747248,u6
Plain,52,58,2.6147098441152083,u6
Plain,67,63,1.9541963103868751,u6
Colored,97,96,-0.19264507794239588,u6
Plain,65,74,3.189824558880017,u6
Colored,48,49,0.16992500144231237,u6
Colored,34,30,1.9541963103868751,u6
Plain,80,86,2.6147098441152083,u6
Plain,52,50,0.9068905956085185,u6
Colored,72,67,2.2854022188622483,u6
Colored,52,58,2.6147098441152083,u6
Plain,37,39,1.0874628412503393,u6
Plain,97,95,0.9068905956085185,u6
Plain,22,23,0.16992500144231237,u6
Colored,52,54,1.0874628412503393,u6
Colored,28,25,1.5235619560570128,u6
Grayscale,44,55,3.4757334309663976,u7
Plain,30,33,1.6438561897747248,u7
Grayscale,85,85,0.0,u7
Colored,66,65,-0.19264507794239588,u7
Colored,64,70,2.6147098441152083,u7
Plain,86,90,2.0443941193584534,u7
Grayscale,51,50,-0.19264507794239588,u7
Plain,95,97,1.0874628412503393,u7
Colored,36,35,-0.19264507794239588,u7
Grayscale,25,20,2.2854022188622483,u7
Grayscale,14,15,0.16992500144231237,u7
Plain,68,75,2.8328900141647417,u7
Grayscale,55,50,2.2854022188622483,u7
Colored,15,15,0.0,u7
Colored,99,99,0.0,u7
Grayscale,6,8,1.0874628412503393,u7
Colored,84,85,0.16992500144231237,u7
Colored,26,25,-0.19264507794239588,u7
Plain,36,33,1.5235619560570128,u7
Grayscale,99,99,0.0,u7
Plain,1,5,2.0443941193584534,u7
Grayscale,27,33,2.6147098441152083,u7
Colored,40,40,0.0,u7
Colored,97,95,0.9068905956085185,u7
Plain,55,55,0.0,u7
Plain,63,65,1.0874628412503393,u7
Colored,0,0,0.0,u7
Grayscale,74,75,0.16992500144231237,u7
Plain,73,65,2.9772799234999163,u7
Colored,41,40,-0.19264507794239588,u7
Colored,98,97,-0.19264507794239588,u7
Grayscale,46,48,1.0874628412503393,u7
